user_id;start_at;distancia_km
0e9af5bbf1edfe591b54ecdfd7e91e26;16/11/2010;113.31
56772d544fdfa589a020a1ff894a86f7;11/09/2010;302.7
56772d544fdfa589a020a1ff894a86f7;10/08/2010;290.8
56772d544fdfa589a020a1ff894a86f7;8/08/2010;272.3
56772d544fdfa589a020a1ff894a86f7;16/05/2010;172.47
0234eb5f7e99d581c72052f0a869293a;9/07/2010;143.8
dd23cf0ef33ae44e0c0b4c756e1fe4e8;22/11/2010;80.64
7abecd4f47c2c1d5390d86eb22181c90;14/12/2010;27.13
7abecd4f47c2c1d5390d86eb22181c90;28/11/2010;34.31
39ec1ffa2e126b1691f97fef3e369d04;14/12/2010;24.45
39ec1ffa2e126b1691f97fef3e369d04;14/12/2010;44.41
67f4e7c0046acc442e7944fc606c64bd;15/05/2010;19.59
2d163dcf6f3e01abf4af5b2a7222acc4;24/11/2010;174.83
2d163dcf6f3e01abf4af5b2a7222acc4;16/09/2010;87.8
1d6bbc303a2c6584d56322b8cef26f65;19/10/2010;20.9
d0d21e2cc815fa276295ce3c51811d4e;26/04/2010;23.1
410389a59b3c36fa86e76bce43d9a336;20/05/2010;219.72
410389a59b3c36fa86e76bce43d9a336;11/03/2010;113.29
297c055e30be8d9a933868c949b9bbac;25/12/2010;156.31
93b4c8d3bdfd931a266ea99f7955834a;4/08/2010;134.5
11b9c2d3923894404f5b4822af2257ad;8/12/2010;33.76
bd64ba6c7055d76fd1b2c63a115c5a7b;14/12/2010;25.13
58f1684680597d6b5c7b39524c7dcf1b;17/11/2010;101.06
4933dfc3aa43418031d095968b6e373b;23/04/2010;97.87
4933dfc3aa43418031d095968b6e373b;10/02/2010;135.21
5e4cab5c9040947be5eb74a7b16da86f;10/11/2010;29.4
81771803646e88efe073786dd2102f8c;9/09/2010;150
00cb8ad6a0f7214d002e3ded6b7de012;11/03/2010;82.34
00cb8ad6a0f7214d002e3ded6b7de012;5/03/2010;88.24
70ba4ba5a1d09c1213940afbf86cdb9e;24/05/2010;61.35
a553c46e3a22fb9c326aeb3d72b01bb9;17/05/2010;37.27
1e44c0fd0a266c3719ff30410baa07cd;12/10/2010;166.5
11b9c2d3923894404f5b4822af2257ad;18/10/2010;119.1
11b9c2d3923894404f5b4822af2257ad;1/10/2010;44.7
11b9c2d3923894404f5b4822af2257ad;21/07/2010;169.3
11b9c2d3923894404f5b4822af2257ad;10/07/2010;42.7
