"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Total","Occupation (Skill level): Total","2021",90.254,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Total","Occupation (Skill level): Skill levels 3 and 4 ~ high","2021",33.879,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Total","Occupation (Skill level): Skill level 2 ~ medium","2021",96.188,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Total","Occupation (Skill level): Skill level 1 ~ low","2021",92.128,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Total","Occupation (Skill level): Not elsewhere classified","2021",58.67,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Male","Occupation (Skill level): Total","2021",84.799,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Male","Occupation (Skill level): Skill levels 3 and 4 ~ high","2021",35.602,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Male","Occupation (Skill level): Skill level 2 ~ medium","2021",93.523,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Male","Occupation (Skill level): Skill level 1 ~ low","2021",86.165,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Male","Occupation (Skill level): Not elsewhere classified","2021",41.905,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Female","Occupation (Skill level): Total","2021",95.504,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Female","Occupation (Skill level): Skill levels 3 and 4 ~ high","2021",29.348,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Female","Occupation (Skill level): Skill level 2 ~ medium","2021",98.576,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Female","Occupation (Skill level): Skill level 1 ~ low","2021",94.953,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Female","Occupation (Skill level): Not elsewhere classified","2021",96.654,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Total","Occupation (ISCO-08): Total","2021",90.254,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Total","Occupation (ISCO-08): 1. Managers","2021",44.4,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Total","Occupation (ISCO-08): 2. Professionals","2021",30.321,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Total","Occupation (ISCO-08): 3. Technicians and associate professionals","2021",36.102,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Total","Occupation (ISCO-08): 4. Clerical support workers","2021",53.607,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Total","Occupation (ISCO-08): 5. Service and sales workers","2021",89.798,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","2021",99.948,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and occupation (%)","Sex: Total","Occupation (ISCO-08): 7. Craft and related trades workers","2021",93.414,,,,"Repository: ILO-STATISTICS - Micro data processing"
