Fecha,Incertidumbre
2022-01-01,Bueno
2022-01-02,Malo
2022-01-03,Bueno
2022-01-04,Malo
2022-01-05,Malo
2022-01-06,Bueno
2022-01-07,Bueno
2022-01-08,Malo
2022-01-09,Bueno
2022-01-10,Bueno
2022-01-11,Malo
2022-01-12,Bueno
2022-01-13,Bueno
2022-01-14,Bueno
2022-01-15,Bueno
2022-01-16,Malo
2022-01-17,Bueno
2022-01-18,Bueno
2022-01-19,Bueno
2022-01-20,Malo
2022-01-21,Malo
2022-01-22,Bueno
2022-01-23,Bueno
2022-01-24,Malo
2022-01-25,Bueno
2022-01-26,Malo
2022-01-27,Bueno
2022-01-28,Bueno
2022-01-29,Bueno
2022-01-30,Bueno
2022-01-31,Malo
2022-02-01,Malo
2022-02-02,Bueno
2022-02-03,Malo
2022-02-04,Bueno
2022-02-05,Bueno
2022-02-06,Malo
2022-02-07,Bueno
2022-02-08,Bueno
2022-02-09,Bueno
2022-02-10,Bueno
2022-02-11,Bueno
2022-02-12,Bueno
2022-02-13,Bueno
2022-02-14,Bueno
2022-02-15,Bueno
2022-02-16,Bueno
2022-02-17,Bueno
2022-02-18,Bueno
2022-02-19,Malo
2022-02-20,Bueno
2022-02-21,Bueno
2022-02-22,Malo
2022-02-23,Bueno
2022-02-24,Bueno
2022-02-25,Bueno
2022-02-26,Bueno
2022-02-27,Malo
2022-02-28,Malo
2022-03-01,Bueno
2022-03-02,Bueno
2022-03-03,Bueno
2022-03-04,Bueno
2022-03-05,Bueno
2022-03-06,Malo
2022-03-07,Bueno
2022-03-08,Malo
2022-03-09,Malo
2022-03-10,Malo
2022-03-11,Bueno
2022-03-12,Malo
2022-03-13,Bueno
2022-03-14,Malo
2022-03-15,Bueno
2022-03-16,Bueno
2022-03-17,Bueno
2022-03-18,Bueno
2022-03-19,Bueno
2022-03-20,Bueno
2022-03-21,Bueno
2022-03-22,Bueno
2022-03-23,Bueno
2022-03-24,Bueno
2022-03-25,Malo
2022-03-26,Bueno
2022-03-27,Bueno
2022-03-28,Malo
2022-03-29,Malo
2022-03-30,Malo
2022-03-31,Bueno
2022-04-01,Bueno
2022-04-02,Bueno
2022-04-03,Bueno
2022-04-04,Bueno
2022-04-05,Bueno
2022-04-06,Bueno
2022-04-07,Malo
2022-04-08,Bueno
2022-04-09,Bueno
2022-04-10,Bueno
2022-04-11,Bueno
2022-04-12,Bueno
2022-04-13,Bueno
2022-04-14,Malo
2022-04-15,Bueno
2022-04-16,Malo
2022-04-17,Malo
2022-04-18,Bueno
2022-04-19,Bueno
2022-04-20,Bueno
2022-04-21,Malo
2022-04-22,Bueno
2022-04-23,Bueno
2022-04-24,Malo
2022-04-25,Malo
2022-04-26,Bueno
2022-04-27,Bueno
2022-04-28,Malo
2022-04-29,Bueno
2022-04-30,Bueno
2022-05-01,Bueno
2022-05-02,Bueno
2022-05-03,Bueno
2022-05-04,Bueno
2022-05-05,Bueno
2022-05-06,Malo
2022-05-07,Bueno
2022-05-08,Bueno
2022-05-09,Bueno
2022-05-10,Bueno
2022-05-11,Bueno
2022-05-12,Malo
2022-05-13,Bueno
2022-05-14,Malo
2022-05-15,Bueno
2022-05-16,Bueno
2022-05-17,Malo
2022-05-18,Malo
2022-05-19,Malo
2022-05-20,Bueno
2022-05-21,Bueno
2022-05-22,Bueno
2022-05-23,Bueno
2022-05-24,Bueno
2022-05-25,Malo
2022-05-26,Bueno
2022-05-27,Bueno
2022-05-28,Bueno
2022-05-29,Bueno
2022-05-30,Malo
2022-05-31,Malo
2022-06-01,Bueno
2022-06-02,Bueno
2022-06-03,Bueno
2022-06-04,Bueno
2022-06-05,Bueno
2022-06-06,Bueno
2022-06-07,Bueno
2022-06-08,Bueno
2022-06-09,Bueno
2022-06-10,Bueno
2022-06-11,Bueno
2022-06-12,Bueno
2022-06-13,Bueno
2022-06-14,Bueno
2022-06-15,Bueno
2022-06-16,Bueno
2022-06-17,Bueno
